epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6739,4.68329,63.8149,3.28343,0,0,0,0,6.48598,63.1214,3.97856,0.000659259,0.000659259,0.000659259
2,118.522,2.97667,11.2954,1.96778,0.23017,0.23026,0.10751,0.02922,2.69333,6.7329,1.94265,0.0013128,0.0013128,0.0013128
3,174.756,2.66029,5.97262,1.76144,0.23994,0.30263,0.15814,0.05608,2.34534,3.75915,1.65088,0.00195314,0.00195314,0.00195314
4,230.963,2.52026,4.03226,1.64631,0.27736,0.40132,0.23024,0.07564,2.25364,2.15338,1.589,0.0019406,0.0019406,0.0019406
5,287.083,2.43587,3.00441,1.5756,0.27288,0.42714,0.26228,0.09316,2.13433,2.17098,1.50745,0.0019208,0.0019208,0.0019208
6,343.152,2.32598,2.51418,1.49133,0.35301,0.51974,0.36717,0.14306,2.11444,1.80838,1.48596,0.001901,0.001901,0.001901
7,399.325,2.23869,2.22236,1.46512,0.38405,0.49342,0.34062,0.13146,2.07231,2.34069,1.47589,0.0018812,0.0018812,0.0018812
8,455.403,2.20072,2.09617,1.46649,0.40539,0.49789,0.39363,0.16214,2.01982,1.88157,1.42686,0.0018614,0.0018614,0.0018614
9,511.448,2.10678,1.88871,1.40759,0.48331,0.55921,0.47446,0.21085,1.93584,1.71169,1.40642,0.0018416,0.0018416,0.0018416
10,567.518,2.13251,1.85064,1.42178,0.44394,0.48684,0.39424,0.18642,1.87139,1.76978,1.35004,0.0018218,0.0018218,0.0018218
11,623.603,2.04612,1.76931,1.38442,0.51191,0.61184,0.53623,0.25698,1.81194,1.48486,1.32481,0.001802,0.001802,0.001802
12,679.704,2.022,1.70924,1.3607,0.49798,0.55921,0.51779,0.25459,1.80894,1.50139,1.34313,0.0017822,0.0017822,0.0017822
13,735.703,2.00642,1.69006,1.35414,0.50186,0.54605,0.52785,0.23951,1.8309,1.54811,1.3343,0.0017624,0.0017624,0.0017624
14,791.788,1.97737,1.6143,1.33788,0.54538,0.59211,0.5986,0.2757,1.80824,1.48659,1.32603,0.0017426,0.0017426,0.0017426
15,847.94,1.9712,1.57379,1.34822,0.51834,0.53809,0.51111,0.23397,1.78731,1.50992,1.31253,0.0017228,0.0017228,0.0017228
16,903.959,1.92026,1.55372,1.31421,0.54971,0.63816,0.59476,0.27875,1.76355,1.44961,1.31513,0.001703,0.001703,0.001703
17,960.222,1.93914,1.53896,1.31166,0.60753,0.65132,0.60569,0.30135,1.70421,1.38711,1.29143,0.0016832,0.0016832,0.0016832
18,1016.35,1.85076,1.45262,1.28501,0.55961,0.65132,0.64358,0.32325,1.72794,1.37084,1.28261,0.0016634,0.0016634,0.0016634
19,1072.53,1.87283,1.45026,1.3052,0.58686,0.64481,0.61256,0.29179,1.75943,1.39869,1.28517,0.0016436,0.0016436,0.0016436
20,1128.58,1.8567,1.42123,1.29654,0.61356,0.63816,0.65209,0.32053,1.67617,1.31989,1.25377,0.0016238,0.0016238,0.0016238
21,1184.56,1.86227,1.44569,1.28536,0.64274,0.67105,0.70654,0.33794,1.73257,1.373,1.2694,0.001604,0.001604,0.001604
22,1240.63,1.88012,1.44354,1.29166,0.60339,0.6706,0.68052,0.34629,1.64604,1.27664,1.24199,0.0015842,0.0015842,0.0015842
23,1296.71,1.8518,1.39426,1.27642,0.6462,0.72097,0.71195,0.36245,1.67385,1.23678,1.25071,0.0015644,0.0015644,0.0015644
24,1352.79,1.79376,1.37294,1.26277,0.66711,0.67241,0.73248,0.36218,1.65765,1.2485,1.24271,0.0015446,0.0015446,0.0015446
25,1408.94,1.81375,1.3498,1.24542,0.65268,0.69737,0.73777,0.38708,1.60664,1.19143,1.22395,0.0015248,0.0015248,0.0015248
26,1465.07,1.77014,1.31231,1.24363,0.71954,0.75956,0.77186,0.37678,1.64647,1.19447,1.23759,0.001505,0.001505,0.001505
27,1521.22,1.7754,1.32953,1.2286,0.64754,0.70104,0.71292,0.34674,1.74546,1.24116,1.25091,0.0014852,0.0014852,0.0014852
28,1577.18,1.78335,1.289,1.23733,0.61521,0.71528,0.70674,0.37978,1.5965,1.31102,1.21095,0.0014654,0.0014654,0.0014654
29,1633.33,1.789,1.30838,1.25882,0.683,0.71711,0.74777,0.38292,1.59742,1.2709,1.23302,0.0014456,0.0014456,0.0014456
30,1689.41,1.75415,1.26181,1.22658,0.67485,0.72368,0.72328,0.37924,1.64692,1.19984,1.24227,0.0014258,0.0014258,0.0014258
31,1745.35,1.73414,1.25567,1.2365,0.55526,0.70395,0.66608,0.32318,1.75299,1.39056,1.25883,0.001406,0.001406,0.001406
32,1801.46,1.75897,1.26224,1.22936,0.63938,0.74342,0.75769,0.40094,1.54094,1.13963,1.20721,0.0013862,0.0013862,0.0013862
33,1857.6,1.73945,1.24324,1.21924,0.73628,0.68421,0.77106,0.41784,1.61895,1.156,1.23535,0.0013664,0.0013664,0.0013664
34,1913.46,1.68656,1.22331,1.19961,0.69241,0.76974,0.77937,0.4097,1.56646,1.1579,1.21282,0.0013466,0.0013466,0.0013466
35,1969.55,1.70927,1.21432,1.21778,0.7006,0.78514,0.7637,0.39588,1.57329,1.14202,1.2097,0.0013268,0.0013268,0.0013268
